"country";"variable";"percentile";"year";"value";"age";"pop"
"IT";"tptincj992";"p0p1";1820;"0";992;"j"
"IT";"tptincj992";"p0p1";1850;"0";992;"j"
"IT";"tptincj992";"p0p1";1880;"0";992;"j"
"IT";"tptincj992";"p0p1";1900;"0";992;"j"
"IT";"tptincj992";"p0p1";1910;"0";992;"j"
"IT";"tptincj992";"p0p1";1920;"0";992;"j"
"IT";"tptincj992";"p0p1";1930;"0";992;"j"
"IT";"tptincj992";"p0p1";1940;"0";992;"j"
"IT";"tptincj992";"p0p1";1950;"0";992;"j"
"IT";"tptincj992";"p0p1";1960;"0";992;"j"
"IT";"tptincj992";"p0p1";1970;"0";992;"j"
"IT";"tptincj992";"p0p1";1980;"0";992;"j"
"IT";"tptincj992";"p0p1";1981;"0";992;"j"
"IT";"tptincj992";"p0p1";1982;"0";992;"j"
"IT";"tptincj992";"p0p1";1983;"0";992;"j"
"IT";"tptincj992";"p0p1";1984;"0";992;"j"
"IT";"tptincj992";"p0p1";1985;"0";992;"j"
"IT";"tptincj992";"p0p1";1986;"0";992;"j"
"IT";"tptincj992";"p0p1";1987;"0";992;"j"
"IT";"tptincj992";"p0p1";1988;"0";992;"j"
"IT";"tptincj992";"p0p1";1989;"0";992;"j"
"IT";"tptincj992";"p0p1";1990;"0";992;"j"
"IT";"tptincj992";"p0p1";1991;"0";992;"j"
"IT";"tptincj992";"p0p1";1992;"0";992;"j"
"IT";"tptincj992";"p0p1";1993;"0";992;"j"
"IT";"tptincj992";"p0p1";1994;"0";992;"j"
"IT";"tptincj992";"p0p1";1995;"0";992;"j"
"IT";"tptincj992";"p0p1";1996;"0";992;"j"
"IT";"tptincj992";"p0p1";1997;"0";992;"j"
"IT";"tptincj992";"p0p1";1998;"0";992;"j"
"IT";"tptincj992";"p0p1";1999;"0";992;"j"
"IT";"tptincj992";"p0p1";2000;"0";992;"j"
"IT";"tptincj992";"p0p1";2001;"0";992;"j"
"IT";"tptincj992";"p0p1";2002;"0";992;"j"
"IT";"tptincj992";"p0p1";2003;"0";992;"j"
"IT";"tptincj992";"p0p1";2004;"0";992;"j"
"IT";"tptincj992";"p0p1";2005;"0";992;"j"
"IT";"tptincj992";"p0p1";2006;"0";992;"j"
"IT";"tptincj992";"p0p1";2007;"0";992;"j"
"IT";"tptincj992";"p0p1";2008;"0";992;"j"
"IT";"tptincj992";"p0p1";2009;"0";992;"j"
"IT";"tptincj992";"p0p1";2010;"0";992;"j"
"IT";"tptincj992";"p0p1";2011;"0";992;"j"
"IT";"tptincj992";"p0p1";2012;"0";992;"j"
"IT";"tptincj992";"p0p1";2013;"0";992;"j"
"IT";"tptincj992";"p0p1";2014;"0";992;"j"
"IT";"tptincj992";"p0p1";2015;"0";992;"j"
"IT";"tptincj992";"p0p1";2016;"0";992;"j"
"IT";"tptincj992";"p0p1";2017;"0";992;"j"
"IT";"tptincj992";"p0p1";2018;"0";992;"j"
"IT";"tptincj992";"p0p1";2019;"0";992;"j"
"IT";"tptincj992";"p0p1";2020;"0";992;"j"
"IT";"tptincj992";"p0p1";2021;"0";992;"j"
"IT";"tptincj992";"p0p1";2022;"0";992;"j"
"IT";"tptincj992";"p0p1";2023;"0";992;"j"
"IT";"tptincj992";"p0p10";1820;"62.2";992;"j"
"IT";"tptincj992";"p0p10";1850;"57.90000000000001";992;"j"
"IT";"tptincj992";"p0p10";1880;"72.2";992;"j"
"IT";"tptincj992";"p0p10";1900;"71.9";992;"j"
"IT";"tptincj992";"p0p10";1910;"74.4";992;"j"
"IT";"tptincj992";"p0p10";1920;"56.2";992;"j"
"IT";"tptincj992";"p0p10";1930;"50";992;"j"
"IT";"tptincj992";"p0p10";1940;"62.1";992;"j"
"IT";"tptincj992";"p0p10";1950;"87.80000000000001";992;"j"
"IT";"tptincj992";"p0p10";1960;"160.5";992;"j"
"IT";"tptincj992";"p0p10";1970;"258.4";992;"j"
"IT";"tptincj992";"p0p10";1980;"18.6";992;"j"
"IT";"tptincj992";"p0p10";1981;"19.8";992;"j"
"IT";"tptincj992";"p0p10";1982;"19.4";992;"j"
"IT";"tptincj992";"p0p10";1983;"21";992;"j"
"IT";"tptincj992";"p0p10";1984;"22";992;"j"
"IT";"tptincj992";"p0p10";1985;"23.6";992;"j"
"IT";"tptincj992";"p0p10";1986;"25.9";992;"j"
"IT";"tptincj992";"p0p10";1987;"9.8";992;"j"
"IT";"tptincj992";"p0p10";1988;"11.2";992;"j"
"IT";"tptincj992";"p0p10";1989;"12.7";992;"j"
"IT";"tptincj992";"p0p10";1990;"6.5";992;"j"
"IT";"tptincj992";"p0p10";1991;"11";992;"j"
"IT";"tptincj992";"p0p10";1992;"5";992;"j"
"IT";"tptincj992";"p0p10";1993;"7.100000000000001";992;"j"
"IT";"tptincj992";"p0p10";1994;"2.2";992;"j"
"IT";"tptincj992";"p0p10";1995;"1.9";992;"j"
"IT";"tptincj992";"p0p10";1996;"1.1";992;"j"
"IT";"tptincj992";"p0p10";1997;"2.1";992;"j"
"IT";"tptincj992";"p0p10";1998;"0.8";992;"j"
"IT";"tptincj992";"p0p10";1999;"1.5";992;"j"
"IT";"tptincj992";"p0p10";2000;"1.4";992;"j"
"IT";"tptincj992";"p0p10";2001;"1.1";992;"j"
"IT";"tptincj992";"p0p10";2002;"1.3";992;"j"
"IT";"tptincj992";"p0p10";2003;"0.8";992;"j"
"IT";"tptincj992";"p0p10";2004;"0";992;"j"
"IT";"tptincj992";"p0p10";2005;"1.6";992;"j"
"IT";"tptincj992";"p0p10";2006;"1.8";992;"j"
"IT";"tptincj992";"p0p10";2007;"4.5";992;"j"
"IT";"tptincj992";"p0p10";2008;"2.7";992;"j"
"IT";"tptincj992";"p0p10";2009;"2.1";992;"j"
"IT";"tptincj992";"p0p10";2010;"1.6";992;"j"
"IT";"tptincj992";"p0p10";2011;"1.5";992;"j"
"IT";"tptincj992";"p0p10";2012;"1.3";992;"j"
"IT";"tptincj992";"p0p10";2013;"1.1";992;"j"
"IT";"tptincj992";"p0p10";2014;"0.7000000000000001";992;"j"
"IT";"tptincj992";"p0p10";2015;"0.8";992;"j"
"IT";"tptincj992";"p0p10";2016;"3.2";992;"j"
"IT";"tptincj992";"p0p10";2017;"4.600000000000001";992;"j"
"IT";"tptincj992";"p0p10";2018;"2.4";992;"j"
"IT";"tptincj992";"p0p10";2019;"2.5";992;"j"
"IT";"tptincj992";"p0p10";2020;"2.7";992;"j"
"IT";"tptincj992";"p0p10";2021;"3";992;"j"
"IT";"tptincj992";"p0p10";2022;"3.1";992;"j"
"IT";"tptincj992";"p0p10";2023;"3.1";992;"j"
"IT";"tptincj992";"p0p100";1820;"0";992;"j"
"IT";"tptincj992";"p0p100";1850;"0";992;"j"
"IT";"tptincj992";"p0p100";1880;"0";992;"j"
"IT";"tptincj992";"p0p100";1900;"0";992;"j"
"IT";"tptincj992";"p0p100";1910;"0";992;"j"
"IT";"tptincj992";"p0p100";1920;"0";992;"j"
"IT";"tptincj992";"p0p100";1930;"0";992;"j"
